JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2417610.4,9.42,,,Vis.,EAH,,NA,,NA,"""V2.5A,V2G""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417611.3,9.42,,,Vis.,EAH,,NA,,NA,"""V2.5A,V3B,V2G""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417612.3,9.53,,,Vis.,EAH,,NA,,NA,"""V2A,V2B,V0G""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417613.4,9.53,,,Vis.,EAH,,NA,,NA,"""V1A,V2B,G1V""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417614.4,9.8,,,Vis.,EAH,,NA,,NA,"""A1V,B1V,G2V""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417617.4,9.8,,,Vis.,EAH,,NA,,NA,"""A1V,B1V,G2V""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417619.4,9.2,,,Vis.,EAH,,NA,,NA,"""D2V,A,B AND G NOT VISIBLE""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417620.3,9.3,,,Vis.,EAH,,NA,,NA,"""D3V,C2V,V4A,V4B,V3G""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417623.3,9.3,,,Vis.,EAH,,NA,,NA,"""D3V,C2V""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417624.3,9.29,,,Vis.,EAH,,NA,,NA,"""D2.5V,C2V,V4A,V4B,V3G""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417630.4,9.33,,,Vis.,EAH,,NA,,NA,"""V4B,D3V,C3V""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417631.3,9.33,,,Vis.,EAH,,NA,,NA,"""V4B,D3V,C3V""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417633.3,9.3,,,Vis.,EAH,,NA,,NA,"""D3V,A,B AND G NOT VISIBLE""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417635.3,9.6,,,Vis.,EAH,,NA,,NA,"""V1A,V1B,G0V""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417636.4,9.67,,,Vis.,EAH,,NA,,NA,"""V0A,V1B,G1V""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417637.3,9.3,,,Vis.,EAH,,NA,,NA,"""V4A!,V4B!,V3G!""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417638.3,9.26,,,Vis.,EAH,,NA,,NA,"""V4A,V5B,V4G,C2V,D3V""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417640.4,9.57,,,Vis.,EAH,,NA,,NA,"""V1A,V1B,V1G""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417641.4,10.0,,,Vis.,EAH,,NA,,NA,"""A3V,B3V,G4V,V2H""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417644.3,9.6,,,Vis.,EAH,,NA,,NA,"""V1A,V1B,V0G!""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417645.3,10.02,,,Vis.,EAH,,NA,,NA,"""A3V,B3V,G4V,V1H""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417646.3,9.85,,,Vis.,EAH,,NA,,NA,"""A2V,B1V,G2V,V3H""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417646.6,9.85,,,Vis.,EAH,,NA,,NA,"""A2V,B1V,G2V,V3H""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417649.4,9.67,,,Vis.,EAH,,NA,,NA,"""V0A,V0B,V0G""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417651.4,9.88,,,Vis.,EAH,,NA,,NA,"""A2V,B2V,G2V,V3H""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417654.4,9.45,,,Vis.,EAH,,NA,,NA,"""V2A,V2B,V2G,C3V""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2425891.6,10.8,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426001.4,11.0,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426002.3,11.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426005.5,10.9,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426006.3,11.4,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426007.5,10.8,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426008.3,10.8,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426012.3,10.5,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426013.3,10.8,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426024.3,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426025.3,10.1,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426028.4,9.9,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426029.3,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426035.3,9.9,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426036.3,9.9,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426037.3,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426038.4,10.1,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426039.3,10.0,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426041.4,10.1,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426247.5,10.0,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426265.5,9.9,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426294.4,10.0,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426297.3,9.6,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426298.5,10.0,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426319.3,10.6,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426325.5,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426408.4,10.1,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426409.3,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426410.4,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426411.4,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426412.4,10.4,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426415.4,10.6,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426416.3,9.5,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426417.4,9.9,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426418.4,9.9,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426419.4,9.9,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426422.4,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426423.4,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426424.4,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426444.4,10.1,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426465.4,11.4,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426595.6,9.9,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426604.5,10.8,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426625.7,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426626.5,10.3,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426628.5,10.0,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426632.5,10.8,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426655.3,11.1,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426748.3,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426749.3,9.9,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426750.4,10.1,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426753.3,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426763.4,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426765.4,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426766.4,10.3,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426767.4,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426768.5,10.8,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426778.5,10.8,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426779.4,10.5,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426780.4,10.6,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426982.6,10.0,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426983.7,10.1,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2426984.6,10.1,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427009.4,9.9,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427015.5,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427090.5,10.5,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427091.4,11.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427096.4,11.1,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427097.3,11.4,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427098.3,10.3,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427099.3,10.6,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427103.3,10.9,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427118.5,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427121.3,10.4,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427129.4,10.5,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427131.5,10.3,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427133.4,10.8,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427156.4,10.1,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427157.4,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427158.4,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427159.4,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427161.4,10.6,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427162.4,10.6,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427175.4,10.3,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427394.5,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427399.4,9.5,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427417.5,9.8,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427419.4,10.5,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427421.3,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427425.3,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427429.5,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427431.4,10.1,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427443.3,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427446.3,10.7,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427450.5,10.8,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427457.5,10.1,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427500.4,10.2,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427502.4,10.7,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427503.3,10.7,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427504.3,10.7,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2427784.3,9.9,,,Vis.,LWM,,,,,G140,,,Z,,,,RW AUR,,STD,,,,BAAVSS
2428548.9,10.3,,,Vis.,KW,,,,,,,,V,,,,RW AUR,,STD,,,,
2428553.9,11.0,,,Vis.,KW,,,,,,,,V,,,,RW AUR,,STD,,,,
2428555.9,10.2,,,Vis.,KW,,,,,,,,V,,,,RW AUR,,STD,,,,
2428559.9,10.4,,,Vis.,KW,,,,,,,,V,,,,RW AUR,,STD,,,,
2428560.9,10.9,,,Vis.,KW,,,,,,,,V,,,,RW AUR,,STD,,,,
2428563.1,10.0,,,Vis.,KW,,,,,,,,V,,,,RW AUR,,STD,,,,
2428563.9,10.3,,,Vis.,KW,,,,,,,,V,,,,RW AUR,,STD,,,,
2428566.9,10.3,,,Vis.,KW,,,,,,,,V,,,,RW AUR,,STD,,,,
2428567.9,10.6,,,Vis.,KW,,,,,,,,V,,,,RW AUR,,STD,,,,
2428568.9,10.6,,,Vis.,KW,,,,,,,,V,,,,RW AUR,,STD,,,,
2428569.9,10.5,,,Vis.,KW,,,,,,,,V,,,,RW AUR,,STD,,,,
2428818.1,10.5,,,Vis.,KW,,,,,,,,V,,,,RW AUR,,STD,,,,
2428870.0,11.5,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428871.0,11.8,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428872.0,11.7,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428873.0,10.9,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428874.0,10.6,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428876.0,10.8,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428877.0,10.6,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428879.0,12.6,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428879.9,13.0,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428880.9,12.4,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428883.1,12.3,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428884.0,12.4,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428886.9,11.8,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428888.1,11.5,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428889.0,11.9,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428890.9,12.3,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428893.1,12.5,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428894.0,12.2,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428895.0,12.6,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428900.1,12.4,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428902.0,11.9,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428902.9,11.5,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428904.0,10.7,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428906.0,10.5,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428906.9,10.4,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428907.9,10.4,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428915.9,10.9,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428920.9,11.8,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428921.9,11.9,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2428925.0,11.7,,,Vis.,KW,K,,,,,,,V,,,,RW AUR,,STD,,,,
2429518.6,12.0,,,Vis.,HU,,,,,,,,V,,,,RW AUR,,STD,,,,
2429520.6,11.7,,,Vis.,HU,,,,,,,,V,,,,RW AUR,,STD,,,,
2429525.6,11.7,,,Vis.,HU,,,,,,,,V,,,,RW AUR,,STD,,,,
2429526.6,11.7,,,Vis.,HU,,,,,,,,V,,,,RW AUR,,STD,,,,
2429548.6,10.0,,,Vis.,HU,,,,,,,,V,,,,RW AUR,,STD,,,,
2429549.6,10.2,,,Vis.,HU,,,,,,,,V,,,,RW AUR,,STD,,,,
2429551.6,9.9,,,Vis.,HU,,,,,,,,V,,,,RW AUR,,STD,,,,
2429555.6,11.6,,,Vis.,HU,,,,,,,,V,,,,RW AUR,,STD,,,,
2429576.6,11.8,,,Vis.,HU,,,,,,,,V,,,,RW AUR,,STD,,,,
2429580.6,10.9,,,Vis.,HU,,,,,,,,V,,,,RW AUR,,STD,,,,
2432151.8,10.4,,,Vis.,ME,,,,,,,,V,,,,RW AUR,,STD,,,,
2432152.9,10.2,,,Vis.,ME,,,,,,,,V,,,,RW AUR,,STD,,,,
2432153.7,10.4,,,Vis.,ME,,,,,,,,V,,,,RW AUR,,STD,,,,
2432154.9,10.0,,,Vis.,ME,,,,,,,,V,,,,RW AUR,,STD,,,,
2432565.8,10.7,,,Vis.,ME,,,,,,,,V,,,,RW AUR,,STD,,,,
2433589.9,10.7,,,Vis.,CR,,,,,,,,V,,,,RW AUR,,STD,,,,
2433620.2,10.7,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
2433620.2,10.8,,,Vis.,SD,,,,,,,,V,,,,RW AUR,,STD,,,,
2433621.2,9.8,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
2433621.2,10.0,,,Vis.,SD,,,,,,,,V,,,,RW AUR,,STD,,,,
2433628.2,11.0,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
2433628.2,10.0,,,Vis.,SD,,,,,,,,V,,,,RW AUR,,STD,,,,
2433630.2,10.3,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
2433630.2,10.3,,,Vis.,SD,,,,,,,,V,,,,RW AUR,,STD,,,,
2433633.2,10.4,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
2433633.2,10.2,,,Vis.,SD,,,,,,,,V,,,,RW AUR,,STD,,,,
2433634.2,9.8,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
2433634.3,9.9,,,Vis.,SD,,,,,,,,V,,,,RW AUR,,STD,,,,
2433643.2,11.3,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
2433643.2,11.3,,,Vis.,SD,,,,,,,,V,,,,RW AUR,,STD,,,,
2433644.2,11.0,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
2433644.2,11.3,,,Vis.,SD,,,,,,,,V,,,,RW AUR,,STD,,,,
2433646.2,11.1,,,Vis.,SD,,,,,,,,V,,,,RW AUR,,STD,,,,
2433646.3,11.3,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
2433647.3,11.4,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
2433647.4,11.5,,,Vis.,SD,,,,,,,,V,,,,RW AUR,,STD,,,,
2433649.2,11.6,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
2433649.3,11.6,,,Vis.,SD,,,,,,,,V,,,,RW AUR,,STD,,,,
2433651.2,11.2,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
2433651.3,11.3,,,Vis.,SD,,,,,,,,V,,,,RW AUR,,STD,,,,
2433657.2,11.1,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
2433663.2,10.2,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
2433663.2,10.2,,,Vis.,SD,,,,,,,,V,,,,RW AUR,,STD,,,,
2433663.7,11.1,,,Vis.,CR,,,,,,,,V,,,,RW AUR,,STD,,,,
2433668.2,11.3,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
2433668.2,11.2,,,Vis.,SD,,,,,,,,V,,,,RW AUR,,STD,,,,
2433672.2,11.1,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
2433672.3,11.2,,,Vis.,SD,,,,,,,,V,,,,RW AUR,,STD,,,,
2433677.2,10.8,,,Vis.,BEC,,,,,,,,V,,,,RW AUR,,STD,,,,
